target_index,variant,solver_status,success,pos_err_m,rot_err_rad,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
27,arm_cold,ok,true,0.000000411797865,0.000000724823491,-2.041864560560197,0.424944537140107,0.892349604003986,-3.324721315499937,-0.153533464215487,2.798139331714653
27,arm_restarts,ok,true,0.000000411797865,0.000000724823491,-2.041864560560197,0.424944537140107,0.892349604003986,-3.324721315499937,-0.153533464215487,2.798139331714653
27,k_cold,ok,true,0.000055840558976,0.000054402017060,-2.041868097844277,0.424810826622674,0.892674137921749,-3.324819391210525,-0.153484290279290,2.798024228056310
27,k_restarts,ok,true,0.000055840558976,0.000054402017060,-2.041868097844277,0.424810826622674,0.892674137921749,-3.324819391210525,-0.153484290279290,2.798024228056310
28,arm_cold,ok,true,0.000031186086746,0.000001430459755,-1.072290363822016,-0.789959345264104,1.179746441518388,-2.040291648067105,-1.394268942565178,0.884724280102423
28,arm_restarts,ok,true,0.000031186086746,0.000001430459755,-1.072290363822016,-0.789959345264104,1.179746441518388,-2.040291648067105,-1.394268942565178,0.884724280102423
28,k_cold,ok,true,0.000058978554818,0.000054801004133,-1.072302337072009,-0.790041126049374,1.179818990476125,-2.040251723491902,-1.394277848087689,0.884661639836828
28,k_restarts,ok,true,0.000058978554818,0.000054801004133,-1.072302337072009,-0.790041126049374,1.179818990476125,-2.040251723491902,-1.394277848087689,0.884661639836828
29,arm_cold,ok,true,0.000003966876764,0.000000240216381,-2.813560606563820,-0.002227507678784,1.451314266509709,-1.590562814735246,-4.596676240271370,-1.501530830857716
29,arm_restarts,ok,true,0.000003966876764,0.000000240216381,-2.813560606563820,-0.002227507678784,1.451314266509709,-1.590562814735246,-4.596676240271370,-1.501530830857716
29,k_cold,not_converged,false,,,,,,,,
29,k_restarts,not_converged,false,,,,,,,,
30,arm_cold,ok,true,0.000000099127741,0.000000408068054,-2.816450199113020,0.870866161188454,2.111725807897098,-2.827602601122177,-0.354941801470208,-0.746028182657471
30,arm_restarts,ok,true,0.000000099127741,0.000000408068054,-2.816450199113020,0.870866161188454,2.111725807897098,-2.827602601122177,-0.354941801470208,-0.746028182657471
30,k_cold,not_converged,false,,,,,,,,
30,k_restarts,not_converged,false,,,,,,,,
31,arm_cold,ok,true,0.000000127955710,0.000000637126262,-0.205576643225348,-2.778820483420767,2.611799292320006,-3.909799582701259,-4.197092280195323,-1.121862806996850
31,arm_restarts,ok,true,0.000000127955710,0.000000637126262,-0.205576643225348,-2.778820483420767,2.611799292320006,-3.909799582701259,-4.197092280195323,-1.121862806996850
31,k_cold,not_converged,false,,,,,,,,
31,k_restarts,ok,true,0.000073566339170,0.000112082652582,-5.292903037857862,-0.467653827622394,-2.276859959173786,1.920104703434906,5.017265673991880,2.922427819237216
32,arm_cold,ok,true,0.000000473653624,0.000000061820444,-3.348465347293316,-1.620630243508750,2.398655304319315,-0.781518561963155,-4.110031991792632,2.762494060634905
32,arm_restarts,ok,true,0.000000473653624,0.000000061820444,-3.348465347293316,-1.620630243508750,2.398655304319315,-0.781518561963155,-4.110031991792632,2.762494060634905
32,k_cold,not_converged,false,,,,,,,,
32,k_restarts,ok,true,0.000080781429351,0.000124609293230,2.934779454678672,-5.711977176049343,-2.398732109058727,1.824128123315193,-4.109991436807449,2.762642445811810
33,arm_cold,ok,true,0.000000050708138,0.000000304860178,-2.711999058695524,-5.170904901595825,1.557875005917468,-2.900155932745352,-2.009355937593019,-3.389011289393868
33,arm_restarts,ok,true,0.000000050708138,0.000000304860178,-2.711999058695524,-5.170904901595825,1.557875005917468,-2.900155932745352,-2.009355937593019,-3.389011289393868
33,k_cold,not_converged,false,,,,,,,,
33,k_restarts,ok,true,0.000074848021197,0.000536338230530,5.173761959439716,-4.123498216703767,-1.581283831346184,5.224607206975449,5.819325183499080,3.429240208026729
34,arm_cold,ok,true,0.000002125440382,0.000008696930023,-1.016987938621400,-3.169513363002035,1.641190778654372,-0.766625337219240,-1.694416500152049,-0.695030653520670
34,arm_restarts,ok,true,0.000002125440382,0.000008696930023,-1.016987938621400,-3.169513363002035,1.641190778654372,-0.766625337219240,-1.694416500152049,-0.695030653520670
34,k_cold,not_converged,false,,,,,,,,
