scene,scene_file,query_index,replicate,seed,in_house_status,oxmpl_status,oxmpl_detail,oxmpl_elapsed_ms,oxmpl_waypoints,oxmpl_path_cost_rad,oxmpl_path_sha256
open_floor,scene.xml,18,4,202608180184,failed,timeout,solve_timeout,250.04999200,0,0.00000000,
open_floor,scene.xml,20,0,202608180200,failed,timeout,solve_timeout,250.01668200,0,0.00000000,
open_floor,scene.xml,20,1,202608180201,failed,timeout,solve_timeout,250.03712200,0,0.00000000,
open_floor,scene.xml,20,2,202608180202,failed,timeout,solve_timeout,250.03578200,0,0.00000000,
open_floor,scene.xml,20,3,202608180203,failed,timeout,solve_timeout,250.01645200,0,0.00000000,
open_floor,scene.xml,20,4,202608180204,failed,timeout,solve_timeout,250.01265200,0,0.00000000,
open_floor,scene.xml,21,0,202608180210,failed,timeout,solve_timeout,250.00288200,0,0.00000000,
open_floor,scene.xml,21,1,202608180211,failed,timeout,solve_timeout,250.00066200,0,0.00000000,
open_floor,scene.xml,21,2,202608180212,failed,timeout,solve_timeout,250.00575200,0,0.00000000,
open_floor,scene.xml,21,3,202608180213,failed,timeout,solve_timeout,250.01188200,0,0.00000000,
open_floor,scene.xml,21,4,202608180214,failed,timeout,solve_timeout,250.00880200,0,0.00000000,
open_floor,scene.xml,22,0,202608180220,success,success,validated,4.04107300,73,17.97878974,dd8bc9936ab6ecb0cae8359424777e28e349a7e56364cc04a02f9a49bba45fd1
open_floor,scene.xml,22,1,202608180221,success,success,validated,7.61533700,102,25.24999957,54dfd4dadadaf5e0134ef3e5c5b64f31268dd5fe0dfa0989485bfde7efabc5d2
open_floor,scene.xml,22,2,202608180222,success,success,validated,14.47997600,97,23.96477017,7b891a60b308beb4367b46ebf1127092a15a326d7d740e09b7a6db05af4e01ff
open_floor,scene.xml,22,3,202608180223,success,success,validated,13.06386800,112,27.73187971,851ce5d81fa047f43a83043c996f70657c4648675df4a72231f3de7147cdcb3c
open_floor,scene.xml,22,4,202608180224,success,success,validated,4.42750300,106,26.24992146,b1f2f503111220e2af1a1392b9dc2b3934131f77183d89d106b99e9836f06af2
open_floor,scene.xml,23,0,202608180230,failed,timeout,solve_timeout,250.00374200,0,0.00000000,
open_floor,scene.xml,23,1,202608180231,failed,timeout,solve_timeout,250.01639200,0,0.00000000,
open_floor,scene.xml,23,2,202608180232,failed,timeout,solve_timeout,250.00192200,0,0.00000000,
open_floor,scene.xml,23,3,202608180233,failed,timeout,solve_timeout,250.02243200,0,0.00000000,
open_floor,scene.xml,23,4,202608180234,failed,timeout,solve_timeout,250.00687100,0,0.00000000,
open_floor,scene.xml,24,0,202608180240,failed,timeout,solve_timeout,250.03184200,0,0.00000000,
open_floor,scene.xml,24,1,202608180241,failed,timeout,solve_timeout,250.01485200,0,0.00000000,
open_floor,scene.xml,24,2,202608180242,failed,timeout,solve_timeout,250.00871200,0,0.00000000,
open_floor,scene.xml,24,3,202608180243,failed,timeout,solve_timeout,250.04562200,0,0.00000000,
open_floor,scene.xml,24,4,202608180244,failed,timeout,solve_timeout,250.03736200,0,0.00000000,
open_floor,scene.xml,25,0,202608180250,failed,timeout,solve_timeout,250.02349200,0,0.00000000,
open_floor,scene.xml,25,1,202608180251,failed,timeout,solve_timeout,250.04298200,0,0.00000000,
open_floor,scene.xml,25,2,202608180252,failed,timeout,solve_timeout,250.04919200,0,0.00000000,
open_floor,scene.xml,25,3,202608180253,failed,timeout,solve_timeout,250.03743200,0,0.00000000,
open_floor,scene.xml,25,4,202608180254,failed,timeout,solve_timeout,250.06437200,0,0.00000000,
open_floor,scene.xml,26,0,202608180260,failed,timeout,solve_timeout,250.05268200,0,0.00000000,
open_floor,scene.xml,26,1,202608180261,failed,timeout,solve_timeout,250.02449200,0,0.00000000,
open_floor,scene.xml,26,2,202608180262,failed,timeout,solve_timeout,250.04927200,0,0.00000000,
open_floor,scene.xml,26,3,202608180263,failed,timeout,solve_timeout,250.01859200,0,0.00000000,
open_floor,scene.xml,26,4,202608180264,failed,timeout,solve_timeout,250.04484200,0,0.00000000,
open_floor,scene.xml,27,0,202608180270,failed,timeout,solve_timeout,250.01433300,0,0.00000000,
